source,target,weight
4824878,3180525,4
4824878,3091943,2
4824878,7683401,1
4824878,3282869,2
4824878,3074106,5
4824878,3220616,3
4824878,162293,1
4824878,12244514,1
7195651,4302562,3
7195651,3041612,1
7195651,16066985,1
7195651,16278312,2
7195651,4928976,1
7195651,9640873,1
7195651,7683401,2
7195651,4824878,1
7195651,3220616,1
7195651,8257672,1
7195651,8057753,1
7195651,10860792,1
10804041,1042538,1
10804041,6412532,3
10804041,3546334,1
10804041,4302562,10
10804041,6755064,3
10804041,3041612,2
10804041,10054666,1
10804041,3040481,1
10804041,3034133,2
10804041,4039711,1
10804041,10179501,2
10804041,11455472,1
